Case Number,Date Reported,Crimes,Location,Synopsis
19-1392,9/6/2019,Petty Theft Bicycles,PHELPS HALL B560,RP reporting that his bicycle was stolen this morning.
19-1404,9/10/2019,Petty Theft Bicycles,SAN JOAQUIN,RP reporting her bike stolen
19-1406,9/10/2019,Petty Theft Bicycles,ROBERTSON GYM B533,RP reporting his bicycle stolen.
19-1410,9/11/2019,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,RP reporting that his bicycle was stolen.
19-1411,9/11/2019,Petty Theft Bicycles,ELINGS HALL (CNSI) B266,RP requesting to report his bike stolen.
19-1412,9/11/2019,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,RP requesting to report his bike tire stolen.
19-1413,9/11/2019,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,RP reporting a bicycle stolen.
19-1417,9/12/2019,Petty Theft Bicycles,MIRANDA HOUSE B881 MANZANITA,RP reporting that his bicycle was stolen.
19-1422,9/13/2019,Petty Theft Bicycles,HUMANITIES AND SOCIAL SCIENCES (HSSB) B515,
19-1430,9/14/2019,Petty Theft Bicycles,DONNER VILLAGE B846 SAN CLEM,
19-1475,9/23/2019,Petty Theft Bicycles,EVENTS CENTER B505,RP reporting her bike stolen.
19-1477,9/23/2019,Petty Theft Bicycles,TROPICANA DEL NORTE,RP reporting her unregistered bike stolen
19-1483,9/25/2019,Petty Theft Bicycles,BUS LOOP,RP reporting his bike stolen.
19-1484,9/25/2019,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,RP reporting his bike stolen.
19-1486,9/25/2019,Petty Theft Bicycles,EVENTS CENTER B505,RP reporting the theft of her unregistered bike.
19-1489,9/26/2019,All Other Petty Thefts,ARROWHEAD VILLAGE B841 SAN CLEM,Light holder stolen from RPs bike.
19-1491,9/26/2019,Petty Theft Bicycles,ENGINEERING 2 B503,RP reporting the theft of his unregistered bike.
19-1505,9/29/2019,Petty Theft Bicycles,CYPRESS WALK,RP reporting a stolen bike
19-1506,9/29/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting a stolen bike
19-1509,9/30/2019,All Other,DEVEREUX BIKE STORAGE,
19-1513,9/30/2019,Petty Theft Bicycles,STUDENT HEALTH B588,RP reporting a stolen bike.
19-1514,9/30/2019,Petty Theft Bicycles,CARRILLO DINING COMMONS B562 MANZANITA,
19-1517,9/30/2019,Petty Theft Bicycles,MUSIC B531,RP reporting a stolen bike.
19-1523,10/1/2019,Petty Theft Bicycles,TECOLOTE HOUSE B877 MANZANITA,RP reporting a stolen bike.
19-1524,10/1/2019,Petty Theft Bicycles,SAN MIGUEL RESIDENCE HALL B553,RP reporting his bike stolen
19-1528,10/2/2019,Petty Theft Bicycles,STUDENT RESOURCE BUILDING (SRB) B221,UNREPORTED STOLEN BIKE. BIKE IS REGISTERED UNDER RPS NAME
19-1529,10/2/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting her bike was stolen.
19-1531,10/2/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting his possibly registered bicycle stolen
19-1534,10/3/2019,Petty Theft Bicycles,FORMER WOMENS CENTER B434,RP reporting the theft of her unregistered bike.
19-1535,10/3/2019,Petty Theft Bicycles,FORMER WOMENS CENTER B434,
19-1537,10/3/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting the theft of her unregistered bike.
19-1539,10/3/2019,Petty Theft Bicycles,CAMPBELL HALL B538,RP reporting the theft of his unregistered bike.
19-1542,10/4/2019,Petty Theft Bicycles,SOUTH HALL B528,RP reporting their bike stolen
19-1559,10/6/2019,Petty Theft Bicycles,THEATER AND DANCE EAST B554,RP reporting her registered bike stolen
19-1561,10/6/2019,Petty Theft Bicycles,TROPICANA DEL NORTE,RP reporting the his unregistered bike was stolen
19-1569,10/7/2019,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,RP reporting that her registered bike may be stolen
19-1571,10/7/2019,Petty Theft Bicycles,RECREATION BUILDING B516,RP requesting assistance in retrieving her stolen bike
19-1572,10/7/2019,Petty Theft Bicycles,SAN MIGUEL RESIDENCE HALL B553,RP reporting that her unregistered bikes were possibly stolen
19-1586,10/9/2019,Petty Theft Bicycles,PARKING LOT 38,RP reporting that she believes that the rest of bike was stolen due to her bike tire being the only thing left on scene with the bike rack
19-1589,10/10/2019,Petty Theft Bicycles,ANACAPA RESIDENCE HALL B547,RP reporting their bike stolen
19-1592,10/10/2019,Petty Theft Bicycles,WEST CAMPUS FAMILY HOUSING (OLD MARRIED),RP reporting the theft of his unregistered bike.
19-1608,10/13/2019,Petty Theft Bicycles,BUS LOOP,RP reporting her unregistered bike might have been stolen
19-1617,10/14/2019,Petty Theft Bicycles,RAMONA COURT NORTH B1880 SAN JOAQUIN,
19-1620,10/14/2019,Petty Theft Bicycles,MUSIC B531,RP out with her unregistered and unreported stolen bike
19-1640,10/17/2019,Petty Theft Bicycles,UNIVERSITY CENTER B558,RP reporting their bike stolen
19-1653,10/18/2019,Petty Theft Bicycles,IV THEATRE B948,RP reporting that his bicycle was stolen.
19-1655,10/18/2019,Petty Theft Bicycles,RECREATION BUILDING B516,RP reporting her bike stolen
19-1657,10/18/2019,Petty Theft Bicycles,TROPICANA DEL NORTE,RP reporting that their bicycle was stolen last night.
19-1666,10/19/2019,Petty Theft Bicycles,SANTA CRUZ RESIDENCE HALL B548,RP reporting his registered bike stolen
19-1674,10/21/2019,Petty Theft Bicycles,BROIDA HALL B572,RP reporting their bike stolen.
19-1676,10/21/2019,Petty Theft Bicycles,SAN MIGUEL RESIDENCE HALL B553,RP reporting their bicycle stolen.
19-1687,10/23/2019,Petty Theft Bicycles,MUSIC B531,"RP sees his registered, unreported-stolen bike."
19-1689,10/23/2019,Petty Theft Bicycles,SAN RAFAEL CLUSTER B587,RP reporting that his bike was stolen within the last hour.
19-1690,10/24/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting their bike stolen
19-1698,10/25/2019,Petty Theft Bicycles,UNIVERSITY CENTER B558,RP reporting to a CSO that he beleives his bicycle was just taken.
19-1717,10/27/2019,Petty Theft Bicycles,CHEMISTRY B557,RP reporting his bike stolen.
19-1731,10/29/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting their bike stolen
19-1739,10/30/2019,Grand Theft,TROPICANA GARDENS,RP reporting his unregistered bike stolen
19-1743,10/31/2019,Petty Theft Bicycles,RECREATION BUILDING B516,RP found his unreported stolen bike
19-1770,11/4/2019,All Other,SANTA ROSA RESIDENCE HALL B527,RP REPORTING A STOLEN BIKE
19-1771,11/4/2019,Petty Theft Bicycles,UNIVERSITY CENTER B558,RP REPORTING A STOLEN BIKE
19-1794,11/9/2019,Petty Theft Bicycles,SOUTH HALL B528,RP reporting the theft of his registered bike.
19-1796,11/9/2019,Petty Theft Bicycles,LIFE SCIENCES B235,RP reporting his bicycle stolen
19-1799,11/9/2019,Petty Theft Bicycles,SOUTH HALL B528,Rp reporting his registered bike stolen
19-1807,11/11/2019,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
19-1834,11/15/2019,Petty Theft Bicycles,MALIBU COURT NORTH B1875 SAN JOAQUIN,RP reporting the theft of his registered bike.
19-1843,11/18/2019,Petty Theft Bicycles,STUDENT HEALTH B588,RP reporting her unregistered bike stolen
19-1847,11/19/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting his unregistered bicycle stolen within the last week.
19-1854,11/21/2019,Petty Theft Bicycles,PSYCHOLOGY B551,RP reporting the theft of his unregistered bike.
19-1869,11/25/2019,Petty Theft Bicycles,BROIDA HALL B572,RP would like to report his bike stolen.
19-1872,11/26/2019,Petty Theft Bicycles,SANTA ROSA RESIDENCE HALL B527,RP reporting his unregistered bike stolen overnight.
19-1881,12/2/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting his bike stolen
19-1885,12/2/2019,Petty Theft Bicycles,PORTOLA DINING COMMONS B1861  SAN CAT,RP reporting that their bicycle was stolen.
19-1892,12/3/2019,Petty Theft Bicycles,SAN RAFAEL TOWER B586,Online report for theft of a registered bicycle.
19-1925,12/12/2019,Petty Theft Bicycles,TROPICANA DEL NORTE,RP reporting the theft of an unregistered bike.
19-1926,12/13/2019,Petty Theft Bicycles,CAMPBELL HALL B538,RP reporting the theft of his bike.
19-1927,12/13/2019,Petty Theft Bicycles,CAMPBELL HALL B538,RP reporting his unregistered bike stolen in the last 3 hours
19-1935,12/18/2019,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,RP reporting his bicycle stolen.
19-1939,12/19/2019,Petty Theft Bicycles,DONNER VILLAGE B846 SAN CLEM,RP reporting their bike stolen
20-0006,1/3/2020,Petty Theft Bicycles,ELKUS WALK,RP reporting her unregistered bike stolen
20-0014,1/5/2020,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP advising that his bicycle frame was stolen over Winter Break.
20-0015,1/6/2020,Grand Theft - Bicycle,ANACAPA RESIDENCE HALL B547,RP advised that his bicycle was stolen over night.
20-0016,1/6/2020,Petty Theft Bicycles,PARKING LOT 38,RP reporting his unregistered bike was possibly stolen
20-0017-,1/6/2020,Petty Theft Bicycles,SAN MIGUEL RESIDENCE HALL B553,RP reporting their bike stolen
20-0023,1/7/2020,Petty Theft Bicycles,SANTA CATALINA B860,
20-0026,1/7/2020,Petty Theft Bicycles,PORTOLA DINING COMMONS B1861  SAN CAT,RP reporting their bike stolen
20-0032,1/9/2020,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting her childrens bike stolen
20-0036,1/10/2020,Grand Theft,ANACAPA RESIDENCE HALL B547,RP reporting their bike stolen
20-0043,1/11/2020,Petty Theft Bicycles,CARRILLO DINING COMMONS B562 MANZANITA,RP reporting that his bicycle was stolen within the last 40 mins.
20-0053,1/13/2020,Petty Theft Bicycles,SANTA CATALINA B860,RP advising that her bicycle was stolen over the weekend.
20-0054,1/13/2020,Petty Theft Bicycles,CHEMISTRY B557,RP advised that her bicycle was stolen last week.
20-0058,1/13/2020,Petty Theft Bicycles,PHYSICAL SCIENCES SOUTH (PSBS) B672,Online report for a stolen bike.
20-0063,1/14/2020,Petty Theft Bicycles,SAN MIGUEL RESIDENCE HALL B553,RP reporting their bike stolen.
20-0067,1/15/2020,Petty Theft Bicycles,ARGUELLO HOUSE B880 MANZANITA,RP reporting his bike stolen
20-0070,1/16/2020,Petty Theft Bicycles,SOCIAL SCIENCES & MEDIA STUDIES (SSMS) B276,RP reporting that her bicycle was stolen from the bike rack today.
20-0071,1/15/2020,Petty Theft Bicycles,PHELPS HALL B560,RP reporting his bicycle stolen.
20-0072,1/16/2020,Petty Theft Bicycles,BRADBURY VILLAGE B849 SAN CLEM,RP reporting the theft of his bike that occurred overnight.
20-0080,1/18/2020,Petty Theft Bicycles,STUDENT HEALTH B588,RP reporting the theft of his unregistered bike.
20-0086,1/19/2020,Petty Theft Bicycles,PARKING LOT 32,RP advised that his bicycle was stolen tonight during his CSO shift.
20-0092,1/21/2020,Petty Theft Bicycles,OAK WALK,RP reporting their bike stolen
20-0096,1/21/2020,Petty Theft Bicycles,STUDENT AFFAIRS AND ADMINISTRATIVE SERVICES B568,
20-0102,1/22/2020,Petty Theft Bicycles,UNIVERSITY CENTER B558,RP reporting his registered bike stolen.
20-0123,1/26/2020,Petty Theft Bicycles,ANACAPA RESIDENCE HALL B547,RP advised that his bicycle was stolen in the last 2 days.
20-0127,1/27/2020,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP reporting their bike stolen
20-0129,1/27/2020,Grand Theft,SANTA CATALINA B860,RP advised that his bicycle was stolen over winter break.
20-0131,1/28/2020,Petty Theft Bicycles,TENAYA SOUTH TOWER B1862 SAN JOAQUIN,RP reporting his bike stolen.
20-0142,1/29/2020,Petty Theft Bicycles,CARRILLO DINING COMMONS B562 MANZANITA,RP reporting his bike stolen.
20-0174,2/3/2020,Petty Theft Bicycles,UNIVERSITY CENTER B558,RP advised that his registered bicycle was stolen today. Bicycle was not locked.
20-0180,2/5/2020,Petty Theft Bicycles,ANACAPA RESIDENCE HALL B547,RP reporting the theft of his unregistered bike.
20-0181,2/5/2020,Petty Theft Bicycles,SANTA CRUZ RESIDENCE HALL B548,RP reporting their bike stolen
20-0182,2/5/2020,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP reporting their bike stolen
20-0183,2/5/2020,Petty Theft Bicycles,BREN HALL B521,RP reporting the theft of her bike.
20-0184,2/5/2020,Petty Theft Bicycles,SANTA CRUZ RESIDENCE HALL B548,RP reporting their bike stolen
20-0191,2/6/2020,Petty Theft Bicycles,MALIBU COURT WEST B1874 SAN JOAQUIN,RP reporting the theft of his registered bike.
20-0197,2/7/2020,Petty Theft Bicycles,SANTA CATALINA B860,72 on the phone with an RP advising the bike from case# 20-0023 has been stolen again.
20-0198,2/7/2020,Petty Theft Bicycles,KERR HALL B591,RP advised that her bicycle was stolen yesterday.
20-0200,2/7/2020,Petty Theft Bicycles,BERRYESSA VILLAGE B1122 SMV,RP reporting the theft of his unregistered bike.
20-0227,2/11/2020,Petty Theft Bicycles,TROPICANA DEL NORTE,Online Report: RP reporting her bike stolen over the weekend.
20-0229,2/11/2020,Petty Theft Bicycles,EDUCATION BUILDING (GGSE) B275,RP reporting her bike stolen
20-0234,2/12/2020,Petty Theft Bicycles,SOUTH HALL B528,RP reporting the theft of his unregistered bike.
20-0244,2/14/2020,Petty Theft Bicycles,CAMPBELL HALL B538,RP reporting her bike stolen.
20-0245,2/14/2020,Petty Theft Bicycles,SAN JOAQUIN,RP advised that his bicycle was stolen over winter break.
20-0246,2/14/2020,Petty Theft Bicycles,PARDALL CENTER B949,RP advised of a subject attempting to steal bikes using tools
20-0266,2/18/2020,Petty Theft Bicycles,SIERRA MADRE APTS - STAFF B1127,RP reporting her bike stolen.
20-0270,2/18/2020,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting his bike stolen.
20-0273,2/19/2020,Petty Theft Bicycles,ENGINEERING 2 B503,RP reporting she found her unreported stolen bike.
20-0275,2/19/2020,Petty Theft Bicycles,IV THEATRE B948,RP reporting the theft of her unregistered bike.
20-0279,2/19/2020,Petty Theft Bicycles,CALAVARAS COURT SOUTH B1868 SAN JOAQUIN,"RP sees his unreported-stolen, unregistered bike.  RP claims to have a receipt w/ serial number."
20-0284,2/20/2020,Petty Theft Bicycles,BUS LOOP,RP reporting that her unregistered bike was stolen this morning.
20-0287,2/21/2020,Petty Theft Bicycles,TROPICANA DEL NORTE,RP advised that his bicycle was stolen in the last 24 hours.
20-0305,2/24/2020,Petty Theft Bicycles,SANTA CRUZ RESIDENCE HALL B548,RP advised that her bicycle was stolen overnight.
20-0307,2/24/2020,Petty Theft Bicycles,TROPICANA DEL NORTE,RP advised that his bicycle was stolen overnight.
20-0309,2/25/2020,Petty Theft Bicycles,ISLA VISTA,
20-0312,2/25/2020,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,RP reporting hie unregistered bike stolen last night.
20-0316,2/26/2020,Petty Theft Bicycles,SAN CLEMENTE,RP reporting his bike stolen.
20-0317,2/26/2020,Petty Theft Bicycles,CAMPBELL HALL B538,RP reporting the theft of her unregistered bike.
20-0318,2/26/2020,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting the theft of his registered bike.
20-0327,2/27/2020,Petty Theft Bicycles,DE LA GUERRA DINING COMMONS (DLG) B549 ISLAND CLUSTERS,RP reporting their bike stolen
20-0328,2/27/2020,Petty Theft Bicycles,UNIVERSITY CENTER B558,RP reporting their unreported stolen bike has been located
20-0333,2/28/2020,Petty Theft Bicycles,SANTA CATALINA B860,RP advised that his bicycle was stolen 2 weeks ago.
20-0360,3/6/2020,Petty Theft Bicycles,ORTEGA DINING COMMONS B542,RP reporting the theft of her registered bike.
20-0366,3/7/2020,Petty Theft Bicycles,CARRILLO DINING COMMONS B562 MANZANITA,RP advising his bicycle was stolen overnight.
20-0374,3/9/2020,Petty Theft Bicycles,ENCINO VILLAGE B845 SAN CLEM,RP reporting their bike solen
20-0376,3/9/2020,Grand Theft - Bicycle,SANTA CRUZ RESIDENCE HALL B548,RP reporting their bike stolen
20-0380,3/10/2020,Petty Theft Bicycles,SOUTH HALL B528,RP reporting their bike stolen
20-0388,3/11/2020,Petty Theft Bicycles,SAN JOAQUIN,RP reporting his bike stolen
20-0389,3/11/2020,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting their bike stolen
20-0390,3/11/2020,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,RP reporting suspicious activity.  Possibly related to thefts from last few days
20-0391,3/11/2020,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,RP reporting a stolen bike.
20-0392,3/11/2020,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting their bike stolen from Santa Catalina.
20-0401,3/13/2020,Petty Theft Bicycles,BROIDA HALL B572,RP advised that her bicycle was stolen during the last week.
20-0408,3/16/2020,Petty Theft Bicycles,SANTA ROSA RESIDENCE HALL B527,RP reporting their bike stolen
20-0412,3/17/2020,Petty Theft Bicycles,MESA PARKING STRUCTURE  B250,RP reporting their bike stolen
20-0427,3/20/2020,Petty Theft Bicycles,BRADBURY VILLAGE B849 SAN CLEM,RP advised that his bicycle was stolen this week.
20-0429,3/21/2020,All Other Petty Thefts,SIERRA MADRE APTS - STAFF B1127,parts removed from RP's bicycle and other bicycles surrounding.
20-0435,3/27/2020,Petty Theft Bicycles,STADIUM RD,out with 2
20-0440,3/30/2020,Petty Theft Bicycles,PHELPS HALL B560,RP was bicycle was stolen this afternoon.
20-0442,3/31/2020,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,RP reporting he possibly interrupted a bicycle burglary
20-0445,3/21/2020,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,online report of stolen bicycle from San Nicholas Residence Hall
20-0447,4/2/2020,Petty Theft Bicycles,BUS LOOP,
20-0463,4/9/2020,Petty Theft Bicycles,WILLOW WALK,RP reporting the theft of his unregistered bike.
20-0470,4/12/2020,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
20-0475,4/14/2020,Petty Theft Bicycles,WEST CAMPUS FAMILY HOUSING (OLD MARRIED),RP reporting his bicycle stolen
20-0477,4/15/2020,Petty Theft Bicycles,TROPICANA DEL NORTE,RP reporting his bike stolen.
20-0511,4/29/2020,All Other Petty Thefts,SANTA CATALINA B860,
20-0521,5/1/2020,Petty Theft Bicycles,DONNER VILLAGE B846 SAN CLEM,RP advised that his bicycle was stolen sometime within the last month.
20-0522,5/1/2020,Petty Theft Bicycles,CAMPBELL HALL B538,RP advising his bicycle was stolen within the last month.
20-0546,5/11/2020,Petty Theft Bicycles,SAN JOAQUIN,RP reporting that his bicycle was taken in the last month
20-0549,5/12/2020,Petty Theft Bicycles,DE LA GUERRA DINING COMMONS (DLG) B549 ISLAND CLUSTERS,RP is reporting that his bicycle was taken in the last couple weeks.
20-0573,5/20/2020,Petty Theft Bicycles,KROEBER WALK,RP is reporting that his bicycle was stolen.
20-0580,5/22/2020,Petty Theft Bicycles,BOLTON WALK,RP reporting his bike stolen.
20-0582,5/22/2020,Petty Theft Bicycles,BOLTON WALK,RP reporting the theft of her unregistered bike.
20-0589,5/24/2020,Petty Theft Bicycles,RINCON HOUSE B887 MANZANITA,
20-0594,5/27/2020,"Petty Theft Bicycles,Petty Theft Bicycles",,RP reporting two unregistered bicycles stolen on different dates.
20-0598,5/28/2020,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
20-0602,5/31/2020,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
20-0603,5/31/2020,Petty Theft Bicycles,WEST CAMPUS FACULTY HOUSING,RP reporting a stolen bicycle.
20-0608,6/2/2020,Petty Theft Bicycles,SANTA CATALINA B860,RP advising that his friend possibly located his unreported stolen bicycle from Santa Catalina earlier today. Bicycle was recovered.
20-0612,6/5/2020,Petty Theft Bicycles,SANTA CATALINA B860,
20-0622,6/9/2020,Petty Theft Bicycles,COAL OIL POINT RESERVE,
20-0645,6/18/2020,Petty Theft Bicycles,SAN RAFAEL TOWER B586,RP reporting his registered bike stolen sometime in the last 3 months.
20-0646,6/19/2020,Grand Theft - Bicycle,BIRCH WALK,RP reporting his unregistered bike stolen overnight
20-0657,6/23/2020,Petty Theft Bicycles,STORKE FAMILY HOUSING (NEW MARRIED),RP reporting their bike stolen
20-0658,6/23/2020,Petty Theft Bicycles,TROPICANA DEL NORTE,RP reporting stolen blue and white trek mountainbike
20-0662,6/24/2020,Petty Theft Bicycles,UNKNOWN LOCATION,
20-0665,6/25/2020,Petty Theft Bicycles,ANACAPA RESIDENCE HALL B547,RP reporting her registered bike stolen.
20-0667,6/26/2020,Petty Theft Bicycles,TROPICANA GARDENS,RP reporting his registered bike stolen between mid-March and now.
20-0668,6/27/2020,Petty Theft Bicycles,BIOLOGICAL SERVICES II B571,RP reporting the theft of her bike.
20-0677,7/2/2020,Petty Theft Bicycles,MATERIAL RESEARCH LAB (MRL) B615,RP reporting his bicycle stolen.
20-0679,7/2/2020,All Other,MUSIC B531,Non-affiliate contacted at the bike racks at Music in the process of stealing a bike wheel.
20-0682,7/6/2020,Petty Theft Bicycles,GAYLEY WALK,RP reporting that three bikes and a bike trailer were taken within the last couple days.
20-0683,7/6/2020,Petty Theft Bicycles,ENCINO VILLAGE B845 SAN CLEM,RP reporting the theft of her unregistered bike.
20-0685,7/7/2020,Petty Theft Bicycles,KROEBER WALK,RP reporting that his bicycle was taken in the last couple days.
20-0696,7/1/2020,All Other,WILLOW WALK,RP reporting her bike tire stolen.
20-0704,7/18/2020,Petty Theft Bicycles,LAUREL WALK,RP reporting her bike stolen.
20-0708,7/20/2020,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting that her bicycle was stolen in the last several days.
20-0721,7/26/2020,Petty Theft Bicycles,CYPRESS WALK,"RP reporting that he sees his unreported-stolen, unregistered bike on Craigslist."
20-0724,7/27/2020,Petty Theft Bicycles,CAMPUS POINT,RP reporting their bike stolen.
20-0726,7/27/2020,All Other Petty Thefts,CHEMISTRY B557,RP reporting the theft of a bike bag and its contents that occurred earlier today.
20-0730,7/28/2020,All Other Petty Thefts,MUSIC B531,RP reporting that between 1430 and 1800 today his wheels were stolen off of his bike but the rest of bike is still intact. RP also reporting that he noticed multiple bikes missing parts in the same area.
20-0733,7/29/2020,Petty Theft Bicycles,SANTA CATALINA B860,"Riding bike and carrying bike. blk gloves. female shirt on a teal bike 
"
20-0735,7/29/2020,All Other,LAUREL WALK,RP reporting that someone stole the seat off his bike last night.
20-0746,8/4/2020,Petty Theft Bicycles,BRADBURY VILLAGE B849 SAN CLEM,Online bike theft report 7-10   san clem
20-0749,8/5/2020,Petty Theft Bicycles,BREN HALL B521,
20-0754,8/7/2020,All Other Petty Thefts,SIERRA MADRE APTS - STAFF B1127,WMA maroon hat black shirt dark pants riding towards NCOS with bike tubes around his neck.
20-0756,8/7/2020,Petty Theft Bicycles,SAN RAFAEL TOWER B586,"Late report for a stolen, registered bike."
20-0764,8/13/2020,Petty Theft Bicycles,TENAYA NORTH TOWER B1864 SAN JOAQUIN,RP reporting his bike stolen.
20-0765,8/13/2020,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,RP reporting her bike stolen
20-0769,8/16/2020,Grand Theft - Bicycle,MARINE BIOTECHNOLOGY LAB B555,RP reporting the theft of an unregistered bike earlier today.  No suspect info.
20-0774,8/18/2020,All Other Petty Thefts,CHEMISTRY B557,RP reporting a theft of parts from their bike.
20-0776,8/19/2020,Petty Theft Bicycles,WEST CAMPUS FAMILY HOUSING (OLD MARRIED),Stolen bike report - unknown time frame
20-0803,9/3/2020,"Petty Theft Bicycles,Petty Theft Bicycles",STORKE FAMILY HOUSING (NEW MARRIED),RP reporting two unregistered bicycles stolen overnight
20-0815,9/8/2020,All Other Petty Thefts,CHEMISTRY B557,RP advised that his rear bicycle wheel was stolen this afternoon.
20-0816,9/9/2020,Petty Theft Bicycles,BUS LOOP,RP reporting his bike stolen.
20-0819,9/11/2020,Petty Theft Bicycles,PORTOLA DINING COMMONS B1861  SAN CAT,RP reporting his bicycle stolen
20-0826,9/15/2020,Petty Theft Bicycles,CASTAIC VILLAGE B843 SAN CLEM,RP reporting that her bicycle was stolen.
20-0835,9/18/2020,All Other Petty Thefts,PORTOLA DINING COMMONS B1861  SAN CAT,RP reporting theft of bike parts.
20-0844,9/23/2020,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,RP reporting the theft of his unregistered bike sometime in the last two days.
20-0853,9/25/2020,Petty Theft Bicycles,STUDENT RESOURCE BUILDING (SRB) B221,RP is requesting assistance in locating his bicycle that was either impounded by the CSO's or possibly stolen
20-0857,9/28/2020,All Other,ENCINO VILLAGE B845 SAN CLEM,RP reporting that the rear wheel of his bicycle was stolen
20-0863,10/1/2020,Petty Theft Bicycles,ENCINO VILLAGE B845 SAN CLEM,RP reporting their bike stolen
20-0865,10/2/2020,Petty Theft Bicycles,DONNER VILLAGE B846 SAN CLEM,RP reporting the theft of her unregistered bike that occurred overnight.
20-0870,10/5/2020,Petty Theft Bicycles,BRADBURY VILLAGE B849 SAN CLEM,RP reporting her bike stolen.
20-0871,10/5/2020,All Other,BIOLOGICAL SERVICES II B571,RP online reporting her bike tire was stolen
20-0874,10/7/2020,Petty Theft Bicycles,CHEMISTRY B557,RP advised that his bicycle was stolen yesterday.
20-0878,10/7/2020,Petty Theft Bicycles,DONNER VILLAGE B846 SAN CLEM,unregistered bike taken.
20-0880,10/10/2020,Petty Theft Bicycles,BIRCH WALK,RP reporting the theft of her unregistered bike.
